,Title,World Sales (in $),IMDB_Rating,Runtime,Genre,Director
0,Star Wars: Episode VII - The Force Awakens,2069521700,7.9,138 min,"Action, Adventure, Sci-Fi",J.J. Abrams
1,Avengers: Endgame,2797501328,8.4,181 min,"Action, Adventure, Drama",Anthony Russo
2,Avatar,2847246203,7.8,162 min,"Action, Adventure, Fantasy",James Cameron
3,Avengers: Infinity War,2048359754,8.4,149 min,"Action, Adventure, Sci-Fi",Anthony Russo
4,Titanic,2201647264,7.8,194 min,"Drama, Romance",James Cameron
5,The Avengers,1518815515,8.0,143 min,"Action, Adventure, Sci-Fi",Joss Whedon
6,Incredibles 2,1243089244,7.6,118 min,"Animation, Action, Adventure",Brad Bird
7,The Lion King,1662899439,8.5,88 min,"Animation, Adventure, Drama",Roger Allers
8,The Lion King,1063611805,8.5,88 min,"Animation, Adventure, Drama",Roger Allers
9,The Dark Knight,1005973645,9.0,152 min,"Action, Crime, Drama",Christopher Nolan
10,Beauty and the Beast,1273576220,8.0,84 min,"Animation, Family, Fantasy",Gary Trousdale
11,Beauty and the Beast,424967620,8.0,84 min,"Animation, Family, Fantasy",Gary Trousdale
12,The Dark Knight Rises,1081142612,8.4,164 min,"Action, Adventure",Christopher Nolan
13,E.T. the Extra-Terrestrial,792910554,7.8,115 min,"Family, Sci-Fi",Steven Spielberg
14,Toy Story 4,1073394593,7.8,100 min,"Animation, Adventure, Comedy",Josh Cooley
15,Toy Story 3,1066970811,8.2,103 min,"Animation, Adventure, Comedy",Lee Unkrich
16,Captain America: Civil War,1153337496,7.8,147 min,"Action, Adventure, Sci-Fi",Anthony Russo
17,Jurassic Park,1033928303,8.1,127 min,"Action, Adventure, Sci-Fi",Steven Spielberg
18,Guardians of the Galaxy Vol. 2,863756051,7.6,136 min,"Action, Adventure, Comedy",James Gunn
19,Harry Potter and the Deathly Hallows: Part 2,1342321665,8.1,130 min,"Adventure, Drama, Fantasy",David Yates
20,Finding Nemo,940352645,8.1,100 min,"Animation, Adventure, Comedy",Andrew Stanton
21,The Lord of the Rings: The Return of the King,1146030912,8.9,201 min,"Action, Adventure, Drama",Peter Jackson
22,The Jungle Book,966554929,7.6,78 min,"Animation, Adventure, Family",Wolfgang Reitherman
23,Deadpool,782836791,8.0,108 min,"Action, Adventure, Comedy",Tim Miller
24,Inside Out,858848019,8.1,95 min,"Animation, Adventure, Comedy",Pete Docter
25,Aladdin,1050693953,8.0,90 min,"Animation, Adventure, Comedy",Ron Clements
26,Aladdin,504050219,8.0,90 min,"Animation, Adventure, Comedy",Ron Clements
27,The Lord of the Rings: The Two Towers,947495095,8.7,179 min,"Action, Adventure, Drama",Peter Jackson
28,Zootopia,1024121104,8.0,108 min,"Animation, Adventure, Comedy",Byron Howard
29,Joker,1074419384,8.5,122 min,"Crime, Drama, Thriller",Todd Phillips
30,Guardians of the Galaxy,773350147,8.0,121 min,"Action, Adventure, Comedy",James Gunn
31,Forrest Gump,678226133,8.8,142 min,"Drama, Romance",Robert Zemeckis
32,Deadpool 2,785896609,7.7,119 min,"Action, Adventure, Comedy",David Leitch
