Runtime,Genre,Director
100,"Drama, Romance",Luis Buñuel
134,"Biography, Drama, History",Anthony Harvey
132,Drama,Mehmet Ada Öztekin
105,Drama,Jim Sheridan
140,"Action, Drama, War",Je-kyu Kang
110,Drama,Federico Fellini
138,Drama,Federico Fellini
169,"Adventure, Fantasy",Peter Jackson
121,"Crime, Drama",Hirokazu Koreeda
117,"Crime, Drama, Thriller",Sam Mendes
157,"Drama, War, Western",Sergio Leone
101,"Drama, Thriller",Brad Anderson
119,"Drama, Mystery",Orson Welles
119,"Comedy, Drama",Alejandro G. Iñárritu
120,"Comedy, Drama",Spike Lee
172,"Biography, Drama, Family",Robert Wise
104,"Action, Biography, Drama",Ronny Yu
89,"Comedy, Drama",Tom McCarthy
92,"Comedy, Drama, Romance",Krzysztof Kieslowski
153,"Comedy, Drama, Musical",Rajkumar Hirani
123,"Drama, Romance",Nick Cassavetes
109,"Drama, Sport",Darren Aronofsky
146,Drama,Tate Taylor
158,"Adventure, Drama",Werner Herzog
92,"Animation, Comedy, Drama",Adam Elliot
80,Drama,Jean-Luc Godard
192,"Drama, Family, Musical",Yash Chopra
111,Drama,Nicholas Ray
91,"Drama, Romance",Ingmar Bergman
85,"Drama, Thriller",Ingmar Bergman
95,"Comedy, Drama, Romance",Marc Webb
71,"Horror, Sci-Fi",James Whale
147,"Drama, Mystery, War",Francis Ford Coppola
120,"Drama, Romance",Danny Boyle
135,"Action, Biography, Crime",Tigmanshu Dhulia
159,"Action, Drama",S.S. Rajamouli
140,"Action, Drama, Sport",Gavin O'Connor
118,"Biography, Drama, History",Tom Hooper
321,"Action, Comedy, Crime",Anurag Kashyap
188,"Comedy, Drama",Robert Altman
108,"Crime, Drama, Thriller",Michael Haneke
146,"Adventure, Family, Fantasy",David Yates
131,"Crime, Drama, Mystery",Bong Joon Ho
180,"Drama, History, War",Akira Kurosawa
132,"Drama, Sport",Clint Eastwood
128,"Action, Drama, Thriller",Levent Semerci
82,"Comedy, Fantasy, Romance",Woody Allen
154,"Crime, Drama",Quentin Tarantino
148,"Adventure, Biography, Drama",Sean Penn
162,"Action, Drama, War",Akira Kurosawa
189,"Drama, History, Thriller",Oliver Stone
91,"Comedy, Drama, Romance",Hal Ashby
104,"Action, Crime, Drama",William Friedkin
120,"Drama, Music",Darius Marder
87,"Drama, War",Zaza Urushadze
97,"Comedy, Drama",John Hughes
113,Drama,John Schlesinger
64,"Drama, Horror",Tod Browning
160,"Biography, Drama, History",Milos Forman
124,Drama,Charlie Kaufman
113,"Drama, Mystery, Thriller",Francis Ford Coppola
86,"Comedy, Horror",Jemaine Clement
153,"Drama, Sci-Fi",Fritz Lang
132,"Action, Thriller",John McTiernan
129,"Drama, History",John Ford
179,"Action, Adventure, Drama",Peter Jackson
136,"Adventure, Mystery, Thriller",Alfred Hitchcock
112,"Action, Sci-Fi, Thriller",Neill Blomkamp
117,"Comedy, Crime, Sport",Joel Coen
127,"Action, Adventure, Sci-Fi",Steven Spielberg
76,"Animation, Family, Fantasy",Henry Selick
94,"Drama, Film-Noir, Mystery",Nicholas Ray
94,"Animation, Action, Adventure",Yoshiaki Kawajiri
130,"Action, Biography, Drama",George P. Cosmatos
119,"Crime, Drama, Thriller",Brian De Palma
117,"Crime, Drama, Thriller",Dan Gilroy
123,"Drama, Western",John Ford
143,"Action, Adventure, Fantasy",Gore Verbinski
103,"Biography, Drama",Jim Sheridan
98,"Drama, Romance",Kar-Wai Wong
137,Drama,Kenneth Lonergan
108,Drama,Federico Fellini
114,"Action, Adventure, Drama",Kinji Fukasaku
79,Comedy,Woody Allen
107,"Comedy, Crime, Drama",Jim Jarmusch
100,"Drama, History, War",Martin Zandvliet
163,"Action, Adventure, Comedy",Kabir Khan
127,"Adventure, Drama, Fantasy",Ang Lee
144,"Adventure, Comedy, War",Brian G. Hutton
99,"Action, Comedy, Fantasy",Stephen Chow
121,"Comedy, Music, Romance",Billy Wilder
132,"Action, Adventure, Sci-Fi",J.J. Abrams
112,"Crime, Drama",John Singleton
117,"Animation, Drama, Fantasy",Mamoru Hosoda
115,"Action, Crime, Drama",José Padilha
76,"Fantasy, Horror, Mystery",Robert Wiene
100,"Animation, Action, Adventure",Christopher Miller
119,"Drama, Horror, Mystery",Alfred Hitchcock
188,Drama,Ingmar Bergman
105,"Crime, Thriller",Alfred Hitchcock
138,"Mystery, Thriller",Martin Scorsese
159,"Action, Crime, Thriller",Neeraj Pandey
144,"Drama, Mystery",Michelangelo Antonioni
129,"Biography, Drama, Sport",Martin Scorsese
107,"Comedy, Drama",Woody Allen
95,"Adventure, Comedy, Drama",Charles Chaplin
