IMDB_Rating,Director,Runtime,Genre,GoodMovie
8.2,Paul Thomas Anderson,158,Drama,1
7.6,Walter Hill,92,"Action, Crime, Thriller",0
8.1,Yimou Zhang,125,"Drama, History, Romance",1
7.8,François Truffaut,105,"Drama, Romance",0
7.8,Richard Linklater,99,"Animation, Drama, Fantasy",0
7.8,Travis Knight,101,"Animation, Action, Adventure",0
8,Victor Fleg,102,"Adventure, Family, Fantasy",0
7.7,Jordan Peele,104,"Horror, Mystery, Thriller",0
7.6,Francis Ford Coppola,162,"Crime, Drama",0
7.8,Steven Spielberg,154,Drama,0
8.2,Ashutosh Gowariker,210,Drama,1
7.6,Matt Reeves,130,"Action, Adventure, Drama",0
7.8,Howard Hawks,102,"Comedy, Family, Romance",0
8,Sergei M. Eisenstein,75,"Drama, History, Thriller",0
8,Franklin J. Schaffner,112,"Adventure, Sci-Fi",0
8.4,Hayao Miyazaki,134,"Animation, Action, Adventure",1
8,Richard Brooks,108,Drama,0
8,Ron Howard,144,"Biography, Drama, History",0
8,Denis Villeneuve,164,"Action, Drama, Mystery",0
7.8,George Cukor,170,"Drama, Family, Musical",0
7.7,Clint Eastwood,141,"Biography, Crime, Drama",0
8,Raja Menon,130,"Drama, History",0
7.9,Howard Hawks,92,"Comedy, Drama, Romance",0
8.1,Peter Bogdanovich,102,"Comedy, Crime, Drama",1
7.6,Jonathan Levine,100,"Comedy, Drama, Romance",0
7.8,James Cameron,162,"Action, Adventure, Fantasy",0
8.3,Quentin Tarantino,153,"Adventure, Drama, War",1
8.6,Roberto Benigni,116,"Comedy, Drama, Romance",1
8,Gary Trousdale,84,"Animation, Family, Fantasy",0
8,Robert Hamer,106,"Comedy, Crime",0
7.8,Jee-woon Kim,144,"Action, Crime, Drama",0
8,Darren Aronofsky,108,"Drama, Thriller",0
7.6,Rob Reiner,95,"Comedy, Drama, Romance",0
7.6,James Frawley,95,"Adventure, Comedy, Family",0
7.6,Mark Rydell,109,Drama,0
7.8,Ang Lee,120,"Action, Adventure, Fantasy",0
7.9,Woody Allen,104,"Comedy, Drama",0
7.8,Tetsuya Nakashima,106,"Drama, Thriller",0
8.2,Hayao Miyazaki,119,"Animation, Adventure, Family",1
8.4,Andrew Stanton,98,"Animation, Adventure, Family",1
8,Woody Allen,93,"Comedy, Romance",0
8.2,Hayao Miyazaki,86,"Animation, Family, Fantasy",1
8.1,Jean Renoir,113,"Drama, War",1
7.7,Oliver Hirschbiegel,120,"Drama, Thriller",0
8,Mike Nichols,106,"Comedy, Drama, Romance",0
8.7,Irvin Kershner,124,"Action, Adventure, Fantasy",1
8,John Huston,100,"Film-Noir, Mystery",0
7.7,Billy Wilder,113,"Comedy, Drama, Romance",0
8.2,Robert Mulligan,129,"Crime, Drama",1
7.8,Jean-Luc Godard,90,"Crime, Drama",0
8,Andrew Lau,101,"Action, Crime, Drama",0
7.8,Richard Curtis,123,"Comedy, Drama, Fantasy",0
7.9,Federico Fellini,123,"Comedy, Drama, Family",0
7.7,Woody Allen,85,"Comedy, War",0
8.5,Todd Phillips,122,"Crime, Drama, Thriller",1
7.9,Duncan Jones,97,"Drama, Mystery, Sci-Fi",0
7.7,James Mangold,122,"Action, Crime, Drama",0
8,Edward Zwick,143,"Adventure, Drama, Thriller",0
7.6,David Lynch,134,"Mystery, Thriller",0
